,C30+,C25-C29,C20-C24,C16-C19,C13-C14-C15,C10-C11-C12,C7-C8-C9,C6,n-C5-i-C5,n-C4-i-C4,C3,C2,C1-CO2-N2,Tc_NR,Vc_NR,Pc_NR
69,0.005219445,0.02417752,0.020115713,0.002203167,0.104470112,0.029710185,0.251149478,0.06340274,0.097569042,0.101146904,0.036922444,0.023709987,0.240203262,602.9995117,0.00034038,9024235
70,0.005377457,0.022147828,0.19282791,0.142195418,0.051211482,0.189823986,0.026226206,0.020986085,0.138507687,0.036360536,0.07872097,0.033774093,0.061840341,703.4663696,0.000692006,4408137
71,0.005611422,0.044201531,0.257496383,0.068939159,0.05145826,0.017769606,0.067914266,0.078828433,0.039532186,0.093946066,0.033560867,0.007582243,0.233159579,723.1089478,0.000662142,5833088.5
72,0.005654137,0.164430379,0.180155742,0.08088434,0.010225621,0.000990375,0.000961829,0.045440048,0.131702097,0.085946263,0.025391833,0.136188599,0.132028737,744.0582275,0.000726849,5583992
73,0.00566763,0.159303478,0.077844072,0.019026776,0.166201483,0.116257105,0.005966887,0.183347531,0.045785646,0.015540771,0.017454014,0.038325683,0.149278922,721.8300781,0.000686083,5162011
74,0.005738301,0.063266579,0.016589842,0.112713328,0.059789565,0.105047278,0.072792289,0.099525467,0.065696981,0.194900183,0.138813569,0.037025493,0.028101125,657.5775757,0.000480462,6376109
75,0.005766423,0.108765389,0.175695968,0.010236818,0.045580038,0.167341501,0.048487608,0.18437245,0.030630612,0.052342334,0.140225338,0.021594882,0.008960639,713.1470337,0.000688533,4652843.5
76,0.006008541,0.243241818,0.04099484,0.036985717,0.229633886,0.031865774,0.077511776,0.003305233,0.001204671,0.158552199,0.028461762,0.002796312,0.139437472,743.1802979,0.000800626,4459470.5
77,0.006243657,0.09962366,0.000712093,0.17084536,0.048096852,0.08699631,0.12644191,0.066008062,0.083812211,0.078990412,0.030666316,0.065052888,0.136510269,689.0581665,0.000553752,6246672
78,0.006254427,0.008098186,0.106728332,0.144885998,0.013822302,0.042793252,0.122761703,0.173697646,0.112213481,0.111342178,0.118041664,0.015705186,0.023655644,660.3282471,0.000517253,5645503
79,0.006350901,0.057421558,0.067352922,0.096403151,0.033821296,0.126789256,0.040415615,0.013062286,0.333740053,0.04420026,0.062839168,0.117403928,0.000199607,668.1715698,0.00051635,6003086
80,0.006675078,0.090277974,0.071669769,0.120068641,0.008672581,0.023095553,0.258730414,0.020890412,0.002253446,0.144519973,0.158664818,0.043359322,0.05112202,690.1500244,0.000556304,6152351
81,0.006785896,0.216967234,0.024795507,0.035343292,0.07172229,0.016982458,0.171971116,0.06893501,0.045328186,0.062011862,0.179598972,0.033763405,0.065794771,723.9077148,0.000650358,5783022.5
82,0.006797018,0.266659441,0.033125269,0.079812252,0.061362005,0.090322382,0.002088862,0.048020283,0.003128312,0.0693023,0.100437929,0.029509663,0.209434285,752.3934326,0.000761872,5407068.5
83,0.006860033,0.232444774,0.044829034,0.018205114,0.05442573,0.014004324,0.181043731,0.036367207,0.043647939,0.005391901,0.01442445,0.287463719,0.060892046,735.99646,0.000660047,6243131.5
84,0.006879185,0.046513887,0.150341129,0.18524305,0.09391553,0.054010657,0.155601666,0.162415011,0.018134146,0.021813754,0.013592357,0.057186035,0.034353594,707.2631836,0.000732201,3941871
85,0.007200417,0.10658848,0.137960865,0.057904565,0.02662799,0.00353667,0.122610296,0.042790244,0.009506469,0.068037838,0.007220189,0.205736288,0.20427969,720.0692749,0.000565599,7681922.5
86,0.007200648,0.020062066,0.220681362,0.089760838,0.18448801,0.0138234,0.031169027,0.127355907,0.025837119,0.01288927,0.089408351,0.01310261,0.164221391,712.9103394,0.000689384,4959868.5
87,0.007227326,0.107828948,0.040174614,0.181499548,0.120987841,0.064201469,0.149855492,0.053443532,0.088879074,0.00091191,0.024720337,0.107865561,0.052404347,707.6235352,0.000684333,4607151.5
88,0.007480468,0.010426947,0.015427401,0.163146708,0.094757964,0.05728206,0.047061619,0.125800569,0.070295584,0.114721078,0.065924012,0.186109681,0.04156591,640.3189087,0.000447576,6823683
89,0.007490548,0.122741755,0.051766973,0.017276777,0.213622089,0.011703286,0.020097271,0.136044515,0.163624065,0.041111459,0.20354701,0.007689858,0.003284392,695.3828735,0.000599582,5394148
90,0.007496504,0.004125199,0.221394391,0.003673968,0.180354837,0.025371018,0.135921052,0.055202925,0.074319243,0.186819241,0.061389271,0.012553087,0.031379263,688.5716553,0.000623395,4826834.5
91,0.007582363,0.00238474,0.227940803,0.068523342,0.082363518,0.070599475,0.12053595,0.065026913,0.12937951,0.097642764,0.063858163,0.039541133,0.024621326,693.3095093,0.000643998,4696478
92,0.007697394,0.126297554,0.086097476,0.00753489,0.247574278,0.039213293,0.107315993,0.039646616,0.040860527,0.011788981,0.060776965,0.213775025,0.011421008,712.7035522,0.000663456,5148439.5
93,0.007797733,0.002378026,0.022978788,0.213637212,0.229516526,0.034937625,0.020715043,0.088672304,0.137985989,0.163626027,0.014809084,0.02488018,0.038065464,664.604248,0.000595652,4474605
94,0.008152376,0.001514571,0.141899273,0.020588761,0.325029685,0.055020676,0.004896448,0.17606993,0.036427542,0.003605385,0.082895578,0.017551332,0.126348443,683.5357666,0.000615421,4948109
95,0.008185448,0.031036164,0.044797423,0.006582256,0.065470586,0.024470904,0.063650499,0.132660635,0.323381501,0.158798085,0.027570311,0.010436296,0.102959892,609.0203247,0.000365141,7860940
96,0.008210082,0.042638094,0.036833533,0.069272604,0.049734458,0.05291807,0.035880701,0.269184475,0.067675171,0.201183415,0.085978684,0.018068226,0.062422488,637.7172241,0.00042533,7081698
97,0.008286511,0.230178077,0.002576414,0.091773551,0.004797843,0.121046726,0.097561485,0.096512384,0.033135017,0.011265817,0.026553806,0.163249645,0.113062724,732.8149414,0.000676531,5816086.5
98,0.008431745,0.031287358,0.032745238,0.237650646,0.060160718,0.133874294,0.004340096,0.025897736,0.003972806,0.122805824,0.034553698,0.085562419,0.218717422,685.2636108,0.000540562,6729545.5
99,0.008488223,0.135682372,0.012531637,0.008834726,0.062995191,0.089996456,0.119081959,0.037839333,0.182685975,0.196322647,0.059926989,0.046514853,0.03909964,677.6426392,0.000504638,6711887
100,0.008548822,0.003842703,0.15892863,0.140636944,0.107403944,0.029139908,0.13115819,0.04766555,0.084146336,0.116799539,0.048355675,0.025744655,0.097629104,689.4989624,0.000617038,5126015.5
101,0.008629336,0.021795956,0.110607151,0.144661244,0.217567868,0.044032971,0.021376113,0.190983505,0.079012503,0.001659425,0.042411409,0.116329822,0.000932695,690.4213257,0.000664371,4291230
102,0.008631,0.333068151,0.03115568,0.005798022,0.03617714,0.030743576,0.025935818,0.002197489,0.029075249,0.097815109,0.167738333,0.141104334,0.090560099,761.9794922,0.000773788,5601575
103,0.008688072,0.032224493,0.184785635,0.149598439,0.121756023,0.023257744,0.12970647,0.058782971,0.191870036,0.019550995,0.010145601,0.025628685,0.044004837,706.7216797,0.000729137,4006401
104,0.008941315,0.011545048,0.020984451,0.033525465,0.001585365,0.329637737,0.09956695,0.164249915,0.075540765,0.033934655,0.018011134,0.192223233,0.010253968,610.7549438,0.000427938,5812953
105,0.00905113,0.112712882,0.050077533,0.090794756,0.018376971,0.050051473,0.167885825,0.063379154,0.139686674,0.038814777,0.041528797,0.122641506,0.094998521,694.4232788,0.000547819,6647522
106,0.009093486,0.010932531,0.130835559,0.20006477,0.005109115,0.241307976,0.008524845,0.022579635,0.133438407,0.063314816,0.071651285,0.101650673,0.001496902,688.9438477,0.000649696,4494157
107,0.009183458,0.078039431,0.016134485,0.04477074,0.171022626,0.084975493,0.00605961,0.132228755,0.092916556,0.131016319,0.066089842,0.153449005,0.01411368,667.0576172,0.000499498,6437197
108,0.009205256,0.012388513,0.020655159,0.023051735,0.069352283,0.044393376,0.227577268,0.113486864,0.005272988,0.258862579,0.054249229,0.078412279,0.083092472,591.7391968,0.000354247,7495602
109,0.009228903,0.39421196,0.012583148,0.050456312,0.000115215,0.002608014,0.153672736,0.113399286,0.005211903,0.038286428,0.048731564,0.084374927,0.087119604,768.8894043,0.000912815,4204930.5
110,0.009287186,0.098642935,0.012341381,0.024144954,0.199662195,0.06620255,0.06387122,0.023986673,0.12439456,0.068264138,0.040924385,0.05864705,0.209630773,683.7797852,0.00050418,7409110
111,0.009428591,0.208304819,0.100711623,0.011929196,0.134815605,0.039924882,0.1774039,0.059892987,0.158859571,0.019855326,0.046885865,0.002060521,0.029927114,732.9241333,0.000799099,3991340
112,0.009479464,0.089159687,0.019718539,0.155339265,0.005856017,0.028513769,0.093631222,0.062779168,0.166881419,0.071709526,0.194602469,0.04864405,0.053685406,677.9594727,0.00050523,6898120
113,0.009748503,0.234295754,0.221180248,0.094632817,0.141463984,0.059754318,0.009858736,0.112168147,0.019628973,0.030949672,0.012782016,0.026903903,0.026632929,760.2769165,0.0010671,2701632.5
114,0.009765233,0.006252621,0.110718253,0.14862656,0.113194503,0.006483249,0.012061539,0.157299329,0.142134261,0.059110465,0.013030882,0.115511249,0.105811856,677.7975464,0.000545268,6123850
115,0.009809818,0.024073968,0.174162024,0.05766648,0.201933719,0.01941708,0.044813265,0.049521188,0.173650073,0.115387204,0.01297644,0.068817107,0.047771633,695.6518555,0.000643889,4858656
116,0.00982932,0.099248387,0.035253386,0.040642103,0.320854013,0.211199105,0.045829914,0.0684665,0.000619048,0.021867295,0.050258159,0.034999891,0.060932879,701.1349487,0.000713825,3942891.5
117,0.010072329,0.104118859,0.103486821,0.22195237,0.191646496,0.005412506,0.035717912,0.087888135,0.080615092,0.091317362,0.03735539,0.010009814,0.020406914,723.8323364,0.0008278,3465687
118,0.010185688,0.083680926,0.090006581,0.24323561,0.00643769,0.019422489,0.030590245,0.016522311,0.013621444,0.056557477,0.086013707,0.008824035,0.334901798,725.3706665,0.000619273,6903206
119,0.010195532,0.068102346,0.007209225,0.180861416,0.070708028,0.054262947,0.111027387,0.054069131,0.019739526,0.194702743,0.007531364,0.199373619,0.022216734,677.1390991,0.000531069,6247822
120,0.010213022,0.046245289,0.092233661,0.121975177,0.114347398,0.012183799,0.055014323,0.241222113,0.026255461,0.120209058,0.03868442,0.06480764,0.056608638,685.4816284,0.000581848,5486470
121,0.010237997,0.040022165,0.043087477,0.134948227,0.053304577,0.061105236,0.15775397,0.150249601,0.013230889,0.037803857,0.13236517,0.109430971,0.056459863,664.3289185,0.000501637,6381831
122,0.010392824,0.178176071,0.038632165,0.046600094,0.063224022,0.11004625,0.10442165,0.059870503,0.045205664,0.05861739,0.012685049,0.086467083,0.185661236,722.8178101,0.000631594,6265331.5
123,0.010610603,0.165813407,0.07321069,0.010660704,0.14632524,0.065455868,0.068891053,0.044169196,0.068811708,0.032563464,0.061212505,0.096418054,0.155857507,725.140686,0.000653876,5968508
124,0.010708246,0.196456229,0.034953145,0.134348751,0.082206962,0.035161711,0.084494513,0.020832784,0.048356647,0.057147545,0.204545323,0.012337479,0.078450666,732.1793213,0.000727116,5022036
125,0.010717092,0.250448025,0.169170679,0.172174424,0.17803294,0.015586592,0.045286354,0.001059427,0.028788724,0.005118698,0.049850434,0.035965717,0.037800894,762.8046875,0.00109849,2613930.5
126,0.010760725,0.030071055,0.013744841,0.028926837,0.198642676,0.02431,0.18008141,0.09140729,0.156982504,0.092366581,0.118368869,0.029485429,0.024851783,631.8318481,0.00046185,5755179
127,0.010808863,0.094790226,0.035813013,0.060414495,0.100387674,0.011245684,0.240619568,0.109924899,0.026781567,0.055359625,0.074074505,0.06095197,0.118827912,683.1011353,0.000529771,6544223
128,0.010824529,0.067004651,0.087509043,0.044028292,0.099841264,0.259897206,0.017936745,0.116905569,0.04829042,0.0338602,0.070486394,0.026534911,0.116880776,690.1757202,0.000603556,5316977
129,0.011052608,0.000415866,0.140809116,0.106612106,0.15165588,0.157659231,0.112205415,0.051583393,0.021908412,0.106990301,0.007610016,0.120720724,0.010776931,684.0301514,0.000647707,4366723
130,0.011078387,0.246967155,0.02770191,0.016370421,0.178519936,0.036717119,0.027174838,0.116643427,0.171524602,0.011343072,0.014995688,0.031524136,0.109439308,738.3887939,0.000767152,4680111.5
131,0.011094168,0.014775823,0.038778437,0.069650954,0.243226755,0.033620013,0.039871668,0.020018321,0.032698282,0.133983483,0.194313256,0.126811794,0.041157045,652.1657715,0.00047699,6646932
132,0.011179485,0.022281494,0.061422216,0.123324008,0.14214544,0.036550128,0.202874057,0.01123365,0.001834763,0.168879144,0.017307026,0.073181796,0.127786793,670.9203491,0.000535526,6035130
133,0.011424289,0.002642459,0.034445066,0.042942525,0.034929792,0.058867626,0.122778456,0.048542979,0.006396216,0.20115701,0.210892607,0.040941257,0.184039717,589.5820923,0.000310021,10252155
134,0.011453555,0.189987056,0.019421026,0.070860311,0.018684489,0.078247221,0.007682143,0.021366445,0.015510355,0.169992339,0.378086325,0.014449698,0.004259037,715.5430298,0.000593071,6606510.5
